ks = 10, kdx = 10, all else are 1
turns up hill and goes for a moment, then stops
count,x axis,y axis,DRV_PW,STR_PW


12,     139,    42,     3301,   2145
24,     139,    101,    3360,   2145
36,     151,    60,     3439,   2135
48,     152,    78,     3467,   2135
60,     148,    65,     3414,   2135
72,     160,    57,     3526,   2135
84,     162,    101,    3590,   2135
96,     158,    108,    3557,   2135
108,    167,    132,    3671,   2135
120,    162,    125,    3614,   2135
132,    164,    154,    3663,   2135
144,    159,    160,    3619,   2135
156,    154,    169,    3578,   2135
168,    138,    170,    3419,   2155
180,    140,    174,    3443,   2135
192,    131,    186,    3365,   2225
204,    130,    168,    3337,   2235
216,    124,    181,    3290,   2295
228,    131,    193,    3372,   2225
240,    135,    189,    3408,   2185
252,    130,    188,    3357,   2235
264,    132,    190,    3379,   2215
276,    128,    189,    3338,   2255
288,    131,    197,    3376,   2225
300,    132,    193,    3382,   2215
312,    132,    194,    3383,   2215
324,    132,    192,    3381,   2215
336,    126,    192,    3321,   2275
348,    127,    182,    3321,   2265
360,    132,    192,    3381,   2215
372,    128,    192,    3341,   2255
384,    126,    194,    3323,   2275
396,    134,    193,    3402,   2195
408,    131,    188,    3367,   2225
420,    134,    193,    3402,   2195
432,    132,    190,    3379,   2215
444,    136,    196,    3425,   2175
456,    131,    194,    3373,   2225