kp=0.5, kd=70
1135,14,1800
1143,26,1800
1151,11,1800
1159,2,1800
1167,3593,1800
1175,3569,1800
1183,3544,1800
1191,3547,1800
1199,3517,1800
1207,3464,1800
1215,3419,1800
1223,3357,1800
1231,3327,1800
1239,3269,1800
1247,3211,1800
1255,3195,1800
1263,3209,1800
1271,3247,1800
1279,3262,1800
1287,3248,1800
1295,3200,1800
1303,3148,1800
1311,3098,1800
1319,3074,1800
1327,3028,1800
1335,3002,1800
1343,3001,1800
1351,3007,1800
1359,3039,1800
1367,3030,1800
1375,3003,1800
1383,2958,1800
1391,2906,1800
1399,2893,1800
1407,2834,1800
1415,2816,1800
1423,2816,1800
1431,2801,1800
1439,2760,1800
1447,2719,1800
1455,2657,1800
1463,2644,1800
1471,2689,1800
1479,2698,1800
1487,2755,1800
1495,2808,1800
1503,2810,1800
1511,2767,1800
1519,2721,1800
1527,2709,1800
1535,2627,1800
1543,2610,1800
1551,2663,1800
1559,2707,1800
1567,2716,1800
1575,2683,1800
1583,2634,1800
1591,2605,1800
1599,2569,1800
1607,2586,1800
1615,2617,1800
1623,2663,1800
1631,2671,1800
1639,2640,1800
1647,2603,1800
1655,2577,1800
1663,2555,1800
1671,2538,1800
1679,2507,1800
1687,2525,1800
1695,2574,1800
1703,2603,1800
1711,2591,1800
1719,2557,1800
1727,2518,1800
1735,2493,1800
1743,2481,1800
1751,2485,1800
1759,2494,1800
1767,2492,1800
1775,2470,1800
1783,2437,1800
1791,2410,1800
1799,2396,1800
1807,2315,1800
1815,2246,1800
1823,2113,1800
1831,2043,1800
1839,2009,1800
1847,2219,1800
1855,2381,1800
1863,2603,1800
1871,2733,1800
1879,2852,1800
1887,2924,1800
1895,2986,1800
1903,3001,1800
1911,2965,1800
1919,2916,1800
1927,2876,1800
1935,2855,1800
1943,2848,1800
1951,2853,1800
1959,2860,1800
1967,2881,180
1975,2863,1800
1983,2834,1800
1991,2801,1800
1999,2794,1800
2007,2731,1800
2015,2691,1800
2023,2633,1800
2031,2639,1800
2039,2681,1800
2047,2728,1800
2055,2728,1800
2063,2693,1800
2071,2659,1800
2079,2653,1800
2087,2645,1800
2095,2671,1800
2103,2705,1800
2111,2746,1800
2119,2745,1800
2127,2701,1800
2135,2652,1800
2143,2621,1800
2151,2600,1800
2159,2604,1800
2167,2651,1800
2175,2701,1800
2183,2703,1800
2191,2674,1800
2199,2639,
2207,2615,1800
2215,2586,1800
2223,2588,1800
2231,2632,1800
2239,2680,1800
2247,2695,1800
2255,2674,1800
2263,2634,1800
2271,2601,1800
2279,2585,1800
2287,2534,1800
2295,2498,1800
2303,2528,1800
2311,2534,1800
2319,2528,1800
2327,2505,1800
2335,2482,1800
2343,2414,1800
2351,2409,1800
2359,2469,1800
2367,2485,1800
2375,2461,1800
2383,2414,1800
2391,2363,1800
2399,2297,1800
2407,2363,1800
2415,2414,1800
2423,2464,1800
2431,2481,1800
2439,2452,1800
2447,2351,1800
2455,2286,1800
2463,2246,1800
2471,2283,1800
2479,2288,1800
2487,2341,1800
2495,2335,1800
2503,2263,1800
2511,2230,1800
2519,2298,1800
2527,2335,1800
2535,2340,1800
2543,2254,1800
2551,2113,1800
2559,1973,1800
2567,1757,1800
2575,1765,1800
2583,1758,1800
2591,1774,1800
2599,1793,1800
2607,1807,1800
2615,1832,1800
2623,1860,1800
2631,1871,1800
2639,1877,1800
2647,1917,1800
2655,1834,1800
2663,1799,1800
2671,1855,1800
2679,2105,1800
2687,2345,1800
2695,2517,1800
2703,2645,1800
2711,2737,1800
2719,2790,1800
2727,2777,1800
2735,2741,1800
2743,2750,1800
2751,2818,1800
2759,2846,1800
2767,2867,1800
2775,2824,1800
2783,2816,1800
2791,2813,1800
2799,2842,1800