kp=0.1, kd=10
1639,4,1800
1647,11,1800
1655,12,1800
1663,11,1800
1671,12,1800
1679,10,1800
1687,13,1800
1695,9,1800
1703,8,1800
1711,9,1800
1719,9,1800
1727,9,1800
1735,9,1800
1743,9,1800
1751,8,1800
1759,9,1800
1767,8,1800
1775,8,1800
1783,9,1800
1791,10,1800
1799,9,1800
1807,13,1800
1815,26,1800
1823,46,1800
1831,69,1800
1839,101,1800
1847,126,1800
1855,162,1800
1863,204,1800
1871,249,1800
1879,292,1800
1887,345,1800
1895,388,1800
1903,419,1800
1911,458,1800
1919,496,1800
1927,525,1800
1935,555,1800
1943,568,1800
1951,582,1800
1959,585,1800
1967,588,1800
1975,595,1800
1983,594,1800
1991,596,1800
1999,599,1800
2007,601,1800
2015,609,1800
2023,608,1800
2031,616,1800
2039,617,1800
2047,619,1800
2055,632,1800
2063,640,1800
2071,648,1800
2079,655,1800
2087,660,1800
2095,662,1800
2103,673,1800
2111,678,1800
2119,682,1800
2127,690,1800
2135,695,1800
2143,696,1800
2151,704,1800
2159,716,1800
2167,718,1800
2175,720,1800
2183,720,1800
2191,718,1800
2199,718,1800
2207,729,1800
2215,723,1800
2223,740,1800
2231,741,1800
2239,750,1800
2247,763,1800
2255,772,1800
2263,785,1800
2271,787,1800
2279,790,1800
2287,792,1800
2295,793,1800
2303,807,1800
2311,819,1800
2319,823,1800
2327,829,1800
2335,838,1800
2343,839,1800
2351,854,1800
2359,861,1800
2367,872,1800
2375,881,1800
2383,878,1800
2391,884,1800
2399,888,1800
2407,886,1800
2415,885,1800
2423,887,1800
2431,887,1800
2439,887,1800
2447,888,1800
2455,883,1800
2463,884,1800
2471,884,1800
2479,882,1800
2487,886,1800
2495,886,1800
2503,889,1800
2511,890,1800
2519,892,1800
2527,898,1800
2535,899,1800
2543,908,1800
2551,907,1800
2559,904,1800
2567,917,1800
2575,914,1800
2583,922,1800
2591,927,1800
2599,921,1800
2607,927,1800
2615,924,1800
2623,927,1800
2631,922,1800
2639,934,1800
2647,934,1800
2655,934,1800